name,title,coords
Park of Manuelside,Пляж,"6.8098, -34.8977"
Замок ст. Усть-Калманка,Public Park,"-32.0787, -47.0187"
Bridge of Lake Scott,Public Park,"-52.3332, 147.1787"
Castle of Meganburgh,Исторический район,"58.6093, 48.6241"
Castle of Pamelamouth,Beach,"-28.0112, 83.2708"
Museum of Buchananshire,Храм,"-62.0937, -72.8769"
Square of East Jerryburgh,Пляж,"-33.4289, 75.0032"
Museum of Josephland,Природный объект,"50.8955, -72.0777"
Lake of Randolphmouth,Музей,"-4.2486, 125.2886"
Bridge of North Jonathanborough,Горнолыжный курорт,"-58.1227, 93.4504"
Замок клх Нязепетровск,Landmark,"57.8795, 143.5587"
Bridge of South Carlachester,Парк,"-34.815, -66.324"
Музей г. Киржач,Landmark,"53.5961, 133.2517"
Парк с. Алапаевск,Парк,"17.8197, 58.309"
Музей к. Балашиха,Beach,"-49.6256, -41.8301"
Гора ст. Кудымкар,Музей,"59.2175, 47.1697"
Bridge of South Brett,Mountain Peak,"52.3677, 79.1621"
Square of Tanyamouth,Горнолыжный курорт,"-15.7853, 124.652"
Square of New Robertostad,Достопримечательность,"7.5316, 123.9633"
Square of Justinton,Nature Reserve,"-25.7163, -69.84"
Bridge of West Stephaniebury,Museum,"-23.5859, 34.0221"
Озеро п. Кашира,Nature Reserve,"30.7246, 113.8428"
Озеро клх Приморско-Ахтарск,Nature Reserve,"-54.7658, 23.8654"
Гора клх Тольятти,Museum,"-4.7063, 166.345"
Музей г. Нижний Тагил,Музей,"-15.5719, 138.8067"
Castle of North Adam,Парк,"46.0748, -162.3486"
Castle of Fullerberg,Достопримечательность,"-30.8353, 68.4864"
Museum of Sarashire,Landmark,"-16.5083, -150.8691"
Museum of New Adam,Музей,"-64.6166, 6.9786"
Castle of North Anaberg,Landmark,"-27.4456, 152.782"
Гора г. Туапсе,Музей,"33.3048, -1.1305"
Park of Scottberg,Public Park,"-44.4104, 16.6012"
Lake of Matthewtown,Исторический район,"37.1375, -41.1814"
Музей г. Йошкар-Ола,Природный объект,"4.7717, -30.1761"
Square of New Karenburgh,Landmark,"-47.4004, -18.2001"
Парк к. Апрелевка,Музей,"-17.5168, 131.018"
Озеро к. Белый Яр (Томск.),Парк,"-14.036, -52.7344"
Площадь д. Белгород,Historic Site,"-53.787, 64.5589"
Park of East Brian,Пляж,"66.2771, 157.4418"
Bridge of Port Nicholas,Historic Site,"8.3352, -133.005"
Bridge of New Erin,Храм,"61.0878, 109.5786"
Park of Brownfort,Public Park,"-68.1093, -168.6188"
Lake of Lake Christopher,Famous Intersection,"62.3677, -135.7084"
Park of Millertown,Public Park,"56.4471, -31.1135"
Замок д. Ростов,Достопримечательность,"14.1303, -88.2689"
Музей клх Белокуриха,Public Park,"-67.1426, 47.1907"
Lake of Port Brandon,Nature Reserve,"-62.5199, -137.6536"
Музей п. Кажим,Historic Site,"-42.1009, -0.9453"
Замок п. Элиста,Museum,"32.4336, -99.1126"
Park of East Loretta,Public Park,"-51.9754, 135.1284"
Площадь с. Суздаль,Museum,"1.8131, -63.4414"
Замок клх Нязепетровск,Beach,"-21.8619, -147.5518"
Park of West Kevin,Historic Site,"-11.3725, -69.5753"
Музей клх Воронеж,Храм,"48.8061, -51.8708"
Castle of Hendrixtown,Храм,"16.9007, 12.0195"
Парк ст. Тимашевск,Historic Site,"-50.68, -140.5031"
Озеро к. Чокурдах,Пляж,"-20.6205, -80.4491"
Парк клх Макаров,Historic Site,"-26.7138, -45.0977"
Bridge of Bridgesside,Public Park,"35.6587, 64.2024"
Bridge of Port Jessica,Парк,"-64.2824, -48.062"
Lake of Timothyburgh,Historic Site,"1.9517, -114.3925"
Museum of Carltown,Природный объект,"5.732, -166.4446"
Озеро с. Новомичуринск,Historic Site,"-10.156, 156.9243"
Park of Laurieside,Достопримечательность,"-17.2982, -127.2864"
Park of New Cathyberg,Public Park,"-63.0127, -140.4562"
Bridge of West Misty,Пляж,"-62.5571, -20.1551"
Замок к. Сунтар,Historic Site,"41.8939, 156.8301"
Park of Wardside,Достопримечательность,"21.4878, -4.7834"
Парк г. Верхнее Пенжино,Beach,"-64.3968, -9.2617"
Museum of Lake Susanstad,Museum,"30.1579, 97.1952"
Museum of Jesusside,Nature Reserve,"-64.2119, -5.487"
Square of Matahaven,Пляж,"-34.4373, 92.731"
Озеро ст. Котлас,Beach,"-38.5252, 119.6161"
Park of New Johnview,Музей,"-3.8214, 33.4534"
Парк п. Бомнак,Музей,"-39.3311, -24.1825"
Bridge of West Barbaramouth,Landmark,"-60.4103, -23.0985"
Lake of Rodriguezchester,Горнолыжный курорт,"-46.5181, -157.7093"
Castle of Lake Brendamouth,Museum,"-55.2527, 15.7829"
Castle of Port Elizabeth,Пляж,"-43.706, -111.3434"
Park of Boyerland,Beach,"-45.1976, 150.4905"
Museum of Morrisburgh,Храм,"34.1688, 54.2086"
Музей с. Чулым,Historic Site,"-4.3252, 81.339"
Castle of Mccoyview,Храм,"52.361, 91.5656"
Bridge of Lake Tammy,Landmark,"13.3008, -73.3041"
Park of Richardfort,Исторический район,"-58.8041, -123.5098"
Lake of Mosston,Исторический район,"46.3871, 14.9534"
Озеро д. Корсаков,Beach,"4.0021, -103.9163"
Озеро п. Ярославль,Landmark,"33.557, 78.145"
Lake of Vincenttown,Достопримечательность,"-33.597, 36.0907"
Park of Davidmouth,Храм,"51.7455, 51.298"
Castle of New Jason,Mountain Peak,"65.4575, 143.6642"
Озеро к. Кулу,Mountain Peak,"-50.5797, -144.6748"
Square of New Johnberg,Public Park,"54.23, -93.3705"
Озеро п. Жиганск,Beach,"-49.1898, 166.1891"
Озеро ст. Колпашево,Природный объект,"11.9136, -147.0718"
Замок г. Комсомольск-на-Амуре,Парк,"-5.5544, 23.1321"
Bridge of Port George,Храм,"64.4645, -7.8736"
Museum of Port Kimberlystad,Historic Site,"50.5637, -58.5887"
Озеро клх Шумиха,Nature Reserve,"3.7977, 83.5454"
Замок п. Бугуруслан,Public Park,"-68.5831, 4.2166"
Castle of New Williamtown,Beach,"-10.5559, -44.7713"
Park of West Bobby,Исторический район,"32.7165, 38.1396"
Bridge of Jeffreyberg,Природный объект,"12.4015, -109.0635"
Square of Allisonshire,Historic Site,"-42.8199, -114.9626"
Lake of Smithton,Landmark,"-50.9091, 65.3768"
Гора д. Новый Оскол,Парк,"-25.4696, -159.4349"
Castle of East Ebony,Landmark,"-65.01, 101.4065"
Замок д. Краснотурьинск,Парк,"25.2442, 34.0225"
Park of South Todd,Парк,"27.9755, 66.7446"
Гора г. Самара,Museum,"27.675, 77.8682"
Park of Lake Todd,Nature Reserve,"-15.4735, 15.1704"
Lake of Nealmouth,Historic Site,"68.0246, 7.9099"
Площадь п. Горячинск,Nature Reserve,"34.3494, -144.0282"
Museum of South Thomaston,Пляж,"-1.4122, -43.3726"
Музей ст. Темрюк,Public Park,"-43.0409, -159.4511"
Озеро г. Тарко-Сале,Пляж,"38.4293, -159.5856"
Square of Perkinsborough,Достопримечательность,"28.3217, -14.9897"
Museum of Christinastad,Landmark,"4.4155, 29.8124"
Замок ст. Верхний Уфалей,Landmark,"-14.9924, 141.2083"
Замок с. Выборг,Beach,"-55.6491, -101.0551"
Square of East Nathanland,Landmark,"-66.8292, 14.8905"
Castle of North Lisaport,Famous Intersection,"45.6909, -113.3107"
Bridge of Emilyside,Mountain Peak,"-14.61, 13.5506"
Museum of North Lawrencestad,Museum,"-50.6162, 49.3116"
Озеро п. Лагань,Исторический район,"3.134, 87.0315"
Озеро д. Нязепетровск,Исторический район,"-62.7386, -36.1091"
Гора п. Каменск-Шахтинский,Исторический район,"-29.2918, -47.0799"
Гора п. Кострома,Достопримечательность,"-33.3613, -4.4074"
Lake of Tinamouth,Mountain Peak,"23.8937, -115.7124"
Bridge of West Christinamouth,Public Park,"1.4163, -56.1787"
Square of South Dianeborough,Достопримечательность,"10.8758, -61.2505"
Museum of Rayport,Природный объект,"-12.8172, 56.6779"
Озеро клх Усолье Сибирское,Достопримечательность,"63.9746, -9.7984"
Музей г. Хабаровск,Храм,"-64.7847, 149.8272"
Bridge of Rayberg,Горнолыжный курорт,"4.6869, 1.7938"
Гора ст. Видное,Парк,"-40.8429, 66.9128"
Park of New Robert,Музей,"-23.3076, -68.5237"
