trip_id,amount,category
36322,887.91,Shopping
10547,194.77,Insurance
41989,14712.81,Transport
30369,192.05,Visa
10697,760.34,Shopping
4792,630.28,Shopping
22779,7.12,Souvenirs
23000,16.97,Souvenirs
34804,1947.22,Accommodation
45029,174.12,Visa
19752,63.72,Ski Pass
34861,606.45,Accommodation
36094,243.81,Shopping
18228,57.01,Museum Tickets
5338,40.39,Visa
3576,412.88,Shopping
48468,266.46,Insurance
34615,63.78,Souvenirs
24393,23.54,Food
15721,45.5,Museum Tickets
6084,106.95,Insurance
27307,891.98,Shopping
39856,684.59,Shopping
25369,326.22,Entertainment
43702,133.62,Insurance
15409,1019.0,Accommodation
43805,388.85,Shopping
40609,16.88,Museum Tickets
414,58.61,Insurance
16913,127.54,Guide Services
21885,404.82,Entertainment
8535,316.65,Accommodation
47689,21.25,Museum Tickets
44406,156.04,Shopping
21882,298.7,Insurance
44351,12497.23,Transport
35429,663.22,Shopping
5483,165.29,Ski Pass
32770,1534.46,Accommodation
49936,36.25,Food
7951,629.55,Shopping
14412,14126.64,Transport
8747,244.98,Entertainment
30641,1311.67,Accommodation
34876,51.72,Museum Tickets
19661,60.18,Souvenirs
30269,224.02,Ski Pass
25307,44.87,Food
18701,536.03,Medical
12109,107.82,Ski Pass
23414,31.72,Insurance
3108,671.22,Medical
38599,151.99,Souvenirs
33122,54.32,Museum Tickets
35007,112.53,Guide Services
19781,79.33,Visa
34249,26.74,Food
38424,70.81,Ski Pass
10188,247.45,Ski Pass
19099,355.79,Medical
42657,309.13,Ski Pass
39601,390.04,Entertainment
3342,240.82,Insurance
25403,219.02,Souvenirs
18338,3861.88,Transport
3614,65.52,Museum Tickets
22581,660.08,Medical
19702,387.85,Guide Services
19245,11589.05,Transport
12623,203.43,Insurance
17828,270.16,Souvenirs
32995,13991.54,Transport
38268,618.39,Medical
18217,288.19,Ski Pass
21516,314.67,Entertainment
3782,195.45,Guide Services
3632,22.19,Insurance
4924,283.53,Insurance
13219,27.6,Museum Tickets
38198,174.32,Shopping
36917,43.51,Insurance
44687,66.51,Insurance
47185,1101.17,Accommodation
30289,139.04,Entertainment
48120,184.02,Visa
34143,57.77,Museum Tickets
30585,38.32,Medical
7797,102.66,Visa
20523,136.17,Visa
446,1219.9,Accommodation
20782,838.63,Shopping
19822,194.05,Insurance
30044,143.94,Visa
14293,49.55,Museum Tickets
8543,1945.0,Transport
36496,473.49,Entertainment
20601,238.15,Insurance
38877,132.98,Insurance
21036,14795.95,Transport
41451,288.97,Insurance
46797,369.57,Entertainment
5534,46.06,Shopping
7748,178.73,Souvenirs
7555,82.44,Shopping
34684,32.12,Visa
33351,948.95,Shopping
10738,31.16,Visa
28555,1629.41,Accommodation
688,133.28,Entertainment
7149,1383.84,Transport
23176,91.61,Souvenirs
41115,349.93,Ski Pass
1197,557.7,Accommodation
14764,76.54,Museum Tickets
40792,100.26,Food
9773,63.87,Food
33623,162.12,Food
8466,1586.34,Accommodation
9826,115.08,Guide Services
437,226.92,Guide Services
22721,386.68,Guide Services
46964,270.27,Insurance
13440,669.84,Shopping
21797,47.36,Food
2716,212.73,Entertainment
21387,98.92,Entertainment
39577,259.66,Guide Services
45558,33.81,Museum Tickets
45353,145.46,Guide Services
36336,527.19,Shopping
6663,155.3,Entertainment
49113,117.04,Souvenirs
24447,946.01,Shopping
17199,245.21,Entertainment
22033,135.25,Food
21436,155.36,Food
43150,7747.96,Transport
35643,440.52,Entertainment
45526,14841.27,Transport
17501,99.44,Museum Tickets
47292,503.49,Medical
10930,94.88,Souvenirs
27368,93.18,Food
19818,175.77,Food
31191,49.32,Visa
37530,64.31,Guide Services
8968,376.18,Entertainment
1535,89.4,Museum Tickets
16488,13134.19,Transport
35601,95.84,Museum Tickets
41484,12311.32,Transport
15122,146.95,Guide Services
13948,262.21,Souvenirs
4824,26.89,Museum Tickets
13215,52.43,Visa
35515,401.88,Entertainment
39523,33.18,Museum Tickets
46561,497.03,Guide Services
48772,631.2,Medical
44970,188.49,Food
1972,80.68,Guide Services
18967,545.84,Shopping
11643,33.69,Entertainment
19911,40.78,Food
25107,400.33,Medical
31218,50.08,Insurance
40549,556.17,Medical
45139,1300.16,Accommodation
21863,49.75,Entertainment
21759,234.19,Entertainment
13378,103.42,Entertainment
12291,82.83,Souvenirs
2872,48.17,Entertainment
13625,660.77,Accommodation
38008,180.6,Ski Pass
43997,142.66,Insurance
39085,196.94,Visa
48629,12.99,Food
2404,7731.8,Transport
25905,532.35,Medical
33858,141.38,Entertainment
3922,10386.91,Transport
46032,45.44,Food
9809,7464.26,Transport
3640,634.38,Accommodation
29074,39.77,Museum Tickets
7743,137.99,Souvenirs
47502,266.35,Ski Pass
1879,41.4,Insurance
26475,241.85,Guide Services
19752,1572.2,Accommodation
15948,298.29,Souvenirs
23445,404.04,Guide Services
736,154.15,Visa
7106,495.06,Accommodation
28703,45.0,Food
38122,414.23,Shopping
12796,842.87,Shopping
44824,1001.14,Transport
16038,14365.83,Transport
7194,176.89,Medical
10935,740.62,Shopping
3907,434.51,Shopping
30346,197.83,Shopping
8619,171.66,Visa
15879,107.83,Ski Pass
15697,99.32,Shopping
40769,5875.56,Transport
37831,837.01,Accommodation
34954,123.1,Shopping
25596,2028.16,Transport
10203,20.35,Insurance
20868,456.65,Guide Services
30578,2392.91,Transport
19753,621.23,Shopping
11738,84.49,Museum Tickets
25987,35.46,Ski Pass
23479,77.05,Museum Tickets
44338,167.71,Visa
45776,98.08,Food
28961,705.29,Medical
21586,53.38,Museum Tickets
47788,181.49,Souvenirs
47200,152.47,Insurance
26805,92.8,Ski Pass
13222,175.82,Shopping
5431,960.58,Shopping
30674,25.86,Museum Tickets
24623,208.52,Guide Services
22051,255.17,Insurance
12472,336.01,Medical
4618,47.37,Museum Tickets
20818,22.88,Entertainment
15123,665.16,Accommodation
32986,52.84,Ski Pass
18813,227.23,Medical
1598,100.57,Ski Pass
49805,54.7,Visa
24936,187.19,Visa
37154,133.93,Souvenirs
34707,284.04,Insurance
34384,232.59,Insurance
33659,40.11,Insurance
168,83.8,Ski Pass
35991,274.78,Souvenirs
37841,36.93,Ski Pass
692,137.83,Souvenirs
42130,1507.0,Accommodation
45602,37.19,Food
28302,179.02,Visa
1693,86.81,Visa
114,20.22,Insurance
21950,264.13,Ski Pass
17530,3250.6,Transport
38182,62.31,Entertainment
48672,21.46,Souvenirs
40897,304.37,Guide Services
11610,89.67,Museum Tickets
10657,28.37,Souvenirs
17747,54.89,Visa
19714,263.18,Souvenirs
18598,1575.26,Accommodation
35462,141.55,Medical
40987,9254.18,Transport
11866,350.32,Entertainment
23996,594.04,Medical
45014,167.08,Insurance
29038,8522.46,Transport
4295,1112.71,Accommodation
47319,152.08,Ski Pass
18041,235.34,Guide Services
49890,465.52,Guide Services
33303,15.21,Museum Tickets
11772,58.36,Museum Tickets
26366,81.95,Museum Tickets
35028,136.7,Visa
34823,151.99,Guide Services
29303,355.21,Medical
36509,764.58,Accommodation
49035,78.63,Accommodation
34258,460.25,Guide Services
16283,110.44,Souvenirs
30854,179.43,Ski Pass
25324,736.89,Medical
19272,93.73,Museum Tickets
2868,478.58,Entertainment
39021,251.34,Souvenirs
17350,723.17,Shopping
45501,104.45,Visa
23962,777.55,Shopping
49923,3260.46,Transport
22582,61.78,Shopping
13379,792.56,Shopping
34523,173.37,Shopping
23601,77.49,Accommodation
41243,15.37,Souvenirs
14802,195.12,Food
23655,37.99,Ski Pass
31376,24.85,Museum Tickets
1666,43.67,Souvenirs
32616,797.94,Accommodation
42858,314.48,Guide Services
7496,265.6,Souvenirs
37937,71.11,Food
34464,253.28,Souvenirs
43294,1280.68,Accommodation
36986,789.89,Medical
21072,99.4,Souvenirs
25836,39.68,Medical
42417,2898.61,Transport
48891,90.34,Museum Tickets
21504,29.61,Shopping
17678,158.29,Insurance
3741,76.95,Museum Tickets
33998,150.71,Shopping
1978,58.34,Visa
21080,6.59,Museum Tickets
36078,214.7,Souvenirs
23532,120.27,Accommodation
6372,31.69,Food
13975,492.93,Medical
6865,393.13,Entertainment
2320,1238.71,Accommodation
15697,941.28,Accommodation
29767,228.77,Entertainment
7218,15.09,Museum Tickets
40010,880.08,Shopping
20780,153.83,Visa
2085,223.22,Ski Pass
40421,875.5,Accommodation
24254,31.66,Ski Pass
30012,1204.38,Accommodation
33829,155.25,Souvenirs
25210,364.23,Guide Services
7716,7247.74,Transport
32864,9207.15,Transport
3260,12807.72,Transport
20151,191.2,Food
37960,120.83,Visa
47839,291.08,Entertainment
8665,55.73,Entertainment
46726,13418.35,Transport
351,13596.44,Transport
24421,158.49,Souvenirs
44505,118.13,Visa
16859,72.88,Food
12049,43.16,Entertainment
28201,126.41,Ski Pass
40466,97.27,Food
15117,484.06,Entertainment
24790,165.82,Accommodation
45882,53.58,Ski Pass
18704,262.01,Souvenirs
39721,476.88,Medical
2997,159.18,Insurance
35974,592.48,Shopping
2673,57.32,Museum Tickets
5250,491.09,Guide Services
5858,235.49,Entertainment
10854,267.19,Entertainment
3397,39.79,Insurance
12698,75.6,Visa
18296,301.66,Guide Services
4446,130.96,Entertainment
4669,96.85,Guide Services
49202,394.77,Guide Services
48892,642.37,Accommodation
8663,60.46,Food
16914,439.61,Entertainment
48513,12917.38,Transport
5969,208.56,Ski Pass
40056,1496.75,Accommodation
1949,435.38,Guide Services
34018,69.59,Accommodation
31723,148.85,Guide Services
275,11629.28,Transport
18944,85.11,Museum Tickets
48575,96.11,Insurance
29325,12360.93,Transport
15109,51.23,Museum Tickets
13590,149.71,Guide Services
46301,1716.37,Accommodation
22847,58.59,Food
39016,105.94,Visa
46565,28.11,Shopping
28609,99.67,Museum Tickets
3104,133.3,Food
13419,375.28,Guide Services
4829,153.21,Entertainment
34152,136.52,Visa
28409,125.07,Visa
45963,147.72,Souvenirs
31380,469.96,Guide Services
4572,1201.45,Accommodation
48503,112.55,Insurance
37168,979.66,Accommodation
20412,14713.89,Transport
10361,993.03,Shopping
39199,94.57,Food
10166,252.58,Shopping
1792,288.95,Guide Services
29762,552.56,Shopping
43596,236.42,Guide Services
44255,327.76,Medical
15474,531.98,Shopping
8045,36.9,Museum Tickets
22607,221.09,Entertainment
47852,274.8,Entertainment
45592,852.58,Accommodation
24432,380.39,Ski Pass
48844,176.22,Food
37473,119.18,Guide Services
1279,36.11,Insurance
18097,37.3,Insurance
7082,389.46,Entertainment
5327,196.64,Food
46032,450.64,Guide Services
3265,978.69,Shopping
5646,141.36,Food
26098,36.67,Insurance
17986,199.07,Insurance
32236,166.62,Ski Pass
14524,538.41,Medical
42257,253.94,Guide Services
30929,239.27,Souvenirs
38408,178.08,Insurance
42358,54.03,Insurance
30182,14.41,Medical
32591,3934.79,Transport
1011,486.45,Entertainment
9046,234.97,Souvenirs
46596,74.2,Visa
43965,741.27,Medical
1791,5.85,Food
25259,958.93,Shopping
11459,263.5,Insurance
1236,182.63,Visa
16763,50.24,Food
15804,191.18,Visa
28517,81.39,Museum Tickets
22820,452.14,Entertainment
13399,176.14,Entertainment
3399,424.67,Shopping
38055,230.85,Insurance
20151,1486.36,Accommodation
23817,314.61,Entertainment
30863,336.38,Ski Pass
13202,424.47,Guide Services
21659,607.3,Medical
28749,441.41,Shopping
22677,354.6,Medical
8152,537.32,Accommodation
47935,128.79,Food
15167,14847.83,Transport
13261,10950.27,Transport
344,44.45,Souvenirs
25172,366.64,Entertainment
36705,9412.09,Transport
38716,140.26,Insurance
44383,14644.36,Transport
21138,874.09,Shopping
32162,451.73,Accommodation
35268,88.46,Museum Tickets
9147,940.3,Accommodation
34333,262.12,Shopping
38582,90.72,Museum Tickets
5642,53.06,Museum Tickets
4539,1304.64,Accommodation
35981,92.1,Visa
48079,13325.96,Transport
46016,139.32,Visa
34549,78.92,Food
22415,722.97,Medical
45789,745.53,Shopping
31290,196.37,Souvenirs
43626,70.93,Insurance
1445,1303.7,Accommodation
26970,34.31,Food
36761,82.12,Visa
26229,32.13,Food
45398,259.8,Insurance
13588,108.64,Souvenirs
21580,462.14,Entertainment
14474,153.15,Souvenirs
3723,63.23,Museum Tickets
39942,24.25,Entertainment
14368,9.41,Food
26800,266.27,Ski Pass
47549,111.22,Souvenirs
25358,40.35,Insurance
42522,53.12,Museum Tickets
6654,53.52,Shopping
27168,244.73,Souvenirs
16800,85.86,Museum Tickets
31297,89.36,Food
7011,75.77,Insurance
10192,437.92,Entertainment
11359,688.72,Medical
38130,1958.08,Accommodation
38967,403.84,Guide Services
18574,306.79,Guide Services
46885,74.77,Insurance
29244,98.85,Guide Services
16465,32.55,Museum Tickets
9180,41.81,Souvenirs
23323,195.08,Ski Pass
7590,123.28,Ski Pass
49169,356.28,Ski Pass
18750,39.85,Ski Pass
38320,12541.71,Transport
12487,262.71,Entertainment
37440,421.62,Entertainment
33302,244.78,Insurance
13294,154.2,Food
13079,60.69,Museum Tickets
41635,133.59,Accommodation
20065,371.43,Ski Pass
39259,28.26,Souvenirs
25251,12882.65,Transport
32552,88.49,Entertainment
8788,99.22,Shopping
40810,247.79,Shopping
7666,82.05,Museum Tickets
13849,54.7,Insurance
2968,622.23,Medical
38623,171.16,Food
80,186.91,Souvenirs
39893,154.38,Visa
12841,247.4,Souvenirs
55,187.41,Visa
19078,491.54,Entertainment
47827,189.14,Insurance
7761,413.23,Guide Services
47981,76.14,Museum Tickets
33300,58.79,Entertainment
35077,452.77,Medical
1844,52.23,Museum Tickets
20611,202.55,Transport
19910,205.36,Medical
40114,295.96,Medical
30444,218.74,Souvenirs
22879,91.5,Shopping
13628,332.81,Shopping
3878,893.27,Transport
9877,114.83,Medical
5655,182.89,Visa
17518,29.44,Medical
11018,74.0,Entertainment
2663,90.59,Entertainment
26186,313.08,Ski Pass
32512,1839.1,Accommodation
24516,647.95,Accommodation
17373,155.28,Insurance
18002,90.57,Food
19744,49.71,Museum Tickets
254,2428.22,Transport
16609,336.92,Guide Services
31606,360.25,Guide Services
13319,470.59,Shopping
3921,131.66,Shopping
30048,26.04,Museum Tickets
30225,30.18,Food
38499,103.04,Entertainment
10020,174.58,Food
36539,61.1,Souvenirs
42089,103.4,Insurance
20024,249.22,Insurance
3455,484.32,Medical
9801,13.68,Food
22147,287.44,Accommodation
13463,409.82,Accommodation
16934,105.63,Insurance
46126,96.91,Museum Tickets
39581,65.23,Medical
30245,104.07,Food
25272,6138.05,Transport
6717,694.54,Medical
45862,51.7,Ski Pass
44226,242.95,Insurance
10076,96.31,Museum Tickets
19543,112.79,Visa
20943,367.24,Guide Services
38615,339.11,Entertainment
637,62.74,Visa
17767,123.96,Visa
26350,42.88,Souvenirs
10215,128.61,Insurance
10020,645.79,Transport
4855,122.01,Souvenirs
17533,91.48,Shopping
10134,227.48,Ski Pass
1399,93.48,Visa
2005,679.09,Medical
21120,133.02,Ski Pass
2493,153.76,Insurance
36256,449.34,Accommodation
42458,179.5,Souvenirs
22424,1198.74,Accommodation
47775,732.35,Medical
41283,191.27,Shopping
42819,299.17,Insurance
33691,327.54,Entertainment
20483,245.02,Souvenirs
11568,1271.11,Accommodation
19757,147.1,Food
40401,105.56,Accommodation
21780,92.63,Museum Tickets
19794,5.56,Museum Tickets
14624,38.22,Visa
35173,325.9,Ski Pass
2155,147.14,Medical
35682,539.41,Medical
42443,309.8,Medical
8973,113.91,Ski Pass
34050,412.13,Guide Services
2651,291.39,Souvenirs
21263,261.33,Souvenirs
33161,662.06,Shopping
29780,33.14,Museum Tickets
4475,92.59,Entertainment
11521,226.78,Entertainment
1595,1846.04,Accommodation
33659,418.42,Entertainment
6365,84.56,Souvenirs
41437,240.07,Insurance
30402,498.15,Medical
29650,63.64,Guide Services
7153,14585.44,Transport
11435,169.07,Food
7318,225.15,Shopping
17197,63.93,Food
49537,220.59,Insurance
43437,118.99,Ski Pass
4089,127.58,Insurance
21002,252.85,Souvenirs
31373,247.95,Souvenirs
38554,142.08,Insurance
21258,496.8,Accommodation
39468,705.18,Shopping
32597,65.68,Museum Tickets
8786,34.71,Souvenirs
42224,56.69,Food
9825,630.21,Shopping
12020,59.26,Entertainment
17854,325.32,Ski Pass
28463,351.98,Guide Services
12188,187.77,Insurance
46592,459.78,Accommodation
25353,731.47,Medical
4179,808.6,Accommodation
16957,191.8,Insurance
12641,1930.27,Accommodation
21161,8182.17,Transport
33686,195.25,Insurance
29962,292.41,Souvenirs
44722,63.47,Medical
3915,357.0,Shopping
29895,9454.13,Transport
15464,244.95,Insurance
18961,975.55,Shopping
30451,98.35,Museum Tickets
6140,86.26,Food
32108,257.21,Souvenirs
15298,177.74,Accommodation
40419,67.91,Visa
40457,4363.4,Transport
44658,38.22,Ski Pass
37093,87.73,Food
21298,143.64,Souvenirs
25028,734.68,Shopping
11818,145.21,Medical
7108,180.56,Souvenirs
15908,117.9,Food
31392,689.05,Accommodation
436,292.06,Ski Pass
22748,99.78,Guide Services
13301,10.69,Museum Tickets
47671,1732.48,Accommodation
18924,30.47,Museum Tickets
43541,14202.55,Transport
23687,666.31,Accommodation
8612,1695.68,Accommodation
25186,326.48,Shopping
1648,106.79,Ski Pass
23088,278.49,Ski Pass
12519,345.52,Ski Pass
23632,243.77,Entertainment
49629,863.81,Shopping
7354,253.01,Entertainment
1030,120.23,Entertainment
49440,174.78,Medical
35429,254.98,Accommodation
37084,134.64,Visa
8958,271.49,Guide Services
9107,12030.39,Transport
23122,319.01,Ski Pass
12016,253.48,Shopping
33151,276.42,Insurance
27835,334.39,Accommodation
26953,93.86,Visa
141,254.99,Insurance
35147,401.36,Entertainment
12250,1604.27,Accommodation
34880,4672.27,Transport
46683,272.42,Ski Pass
29998,322.17,Medical
21913,600.47,Medical
1125,97.95,Museum Tickets
40634,146.68,Insurance
29055,76.57,Visa
37960,52.94,Insurance
15766,328.68,Ski Pass
39247,379.56,Ski Pass
42629,189.52,Food
18483,642.13,Shopping
17026,316.91,Medical
36910,832.48,Shopping
47163,87.47,Museum Tickets
8301,264.22,Insurance
36774,105.07,Insurance
35526,69.54,Insurance
27740,926.43,Accommodation
35290,427.44,Entertainment
17744,56.53,Medical
4424,69.26,Entertainment
9519,436.71,Entertainment
2210,162.58,Ski Pass
15184,266.79,Medical
41709,130.51,Accommodation
6890,34.03,Visa
34022,80.52,Medical
28974,651.18,Shopping
4261,91.87,Guide Services
9912,205.59,Ski Pass
1037,82.63,Souvenirs
41057,419.27,Guide Services
46865,351.94,Medical
26725,125.97,Guide Services
5261,1653.26,Accommodation
595,164.23,Insurance
7531,255.07,Guide Services
14617,1929.0,Accommodation
47822,172.96,Food
23092,8155.15,Transport
41438,51.18,Souvenirs
38547,280.59,Medical
48691,141.99,Visa
25723,184.16,Ski Pass
44439,68.94,Visa
6626,202.88,Guide Services
40018,618.31,Medical
46842,1094.63,Accommodation
5359,10995.14,Transport
30671,382.66,Guide Services
42798,433.73,Entertainment
23584,46.57,Museum Tickets
34681,118.06,Ski Pass
38997,1320.61,Accommodation
360,150.68,Insurance
19290,399.64,Shopping
2017,358.25,Entertainment
22201,51.01,Guide Services
18124,5386.3,Transport
39502,1107.86,Accommodation
49588,162.28,Food
39335,123.4,Insurance
28444,40.83,Museum Tickets
48648,493.97,Guide Services
11627,79.42,Ski Pass
19173,285.32,Insurance
24820,71.68,Ski Pass
35845,155.7,Visa
4766,459.16,Medical
17753,111.67,Food
9266,99.67,Food
48148,760.3,Accommodation
21502,198.69,Ski Pass
2788,84.69,Insurance
33144,151.79,Souvenirs
3118,649.67,Medical
41549,10418.5,Transport
21999,49.88,Museum Tickets
28908,303.99,Ski Pass
11601,327.33,Ski Pass
48442,194.12,Medical
40385,286.73,Insurance
11514,311.45,Medical
23384,46.45,Souvenirs
44232,270.65,Insurance
49492,95.42,Museum Tickets
13735,77.03,Museum Tickets
11594,310.5,Guide Services
9522,206.1,Entertainment
23578,1420.91,Accommodation
23897,68.49,Food
28811,159.95,Entertainment
13350,115.88,Visa
26358,20.85,Souvenirs
7810,550.03,Accommodation
49305,121.48,Entertainment
34717,80.08,Ski Pass
30769,175.68,Souvenirs
49604,106.72,Food
35644,1142.08,Transport
5070,118.4,Guide Services
25346,141.69,Visa
10647,75.37,Souvenirs
27515,7.13,Souvenirs
4823,70.46,Accommodation
42443,661.81,Accommodation
35170,142.25,Shopping
48504,261.01,Insurance
48249,122.4,Medical
9593,1787.39,Accommodation
45480,706.05,Medical
16946,135.09,Souvenirs
47746,298.55,Guide Services
35594,170.42,Entertainment
15853,249.36,Medical
14964,164.51,Ski Pass
20953,264.21,Entertainment
7025,127.45,Food
43579,146.19,Insurance
1751,269.87,Insurance
652,130.52,Accommodation
4353,216.39,Insurance
45090,178.95,Food
31762,447.73,Entertainment
5811,30.75,Ski Pass
39776,138.75,Ski Pass
18138,1382.07,Accommodation
14851,58.73,Insurance
25548,928.28,Shopping
211,35.84,Museum Tickets
46871,323.2,Guide Services
24139,144.44,Guide Services
9465,179.63,Ski Pass
44761,7637.66,Transport
9148,141.95,Insurance
8835,249.88,Medical
9828,38.32,Museum Tickets
10116,285.26,Souvenirs
26790,172.07,Visa
11535,412.21,Entertainment
13545,618.49,Shopping
19704,89.03,Food
10354,127.21,Ski Pass
28103,363.91,Medical
13459,751.1,Medical
7182,188.4,Ski Pass
35006,209.52,Souvenirs
10285,195.34,Insurance
47888,437.22,Entertainment
47584,143.71,Ski Pass
14691,425.31,Guide Services
13426,121.05,Insurance
44445,150.28,Ski Pass
42842,187.14,Visa
18574,73.58,Visa
15748,153.57,Shopping
43729,146.71,Souvenirs
23632,52.0,Food
42144,365.53,Ski Pass
8707,738.65,Shopping
16204,90.94,Museum Tickets
42853,114.9,Souvenirs
4164,58.72,Entertainment
44188,248.48,Shopping
38638,286.3,Ski Pass
34240,117.02,Ski Pass
22845,478.88,Shopping
8144,25.97,Entertainment
30270,132.43,Shopping
29525,498.06,Guide Services
31477,402.1,Accommodation
35487,75.04,Food
47872,257.05,Ski Pass
20823,99.98,Entertainment
12948,40.05,Insurance
26352,169.14,Insurance
10700,59.03,Visa
42662,122.88,Souvenirs
10675,495.67,Guide Services
9538,23.43,Insurance
32813,376.08,Ski Pass
25306,469.12,Entertainment
32145,288.96,Insurance
36525,181.92,Ski Pass
42733,1100.6,Accommodation
16029,32.08,Museum Tickets
47473,1483.24,Accommodation
30161,219.74,Guide Services
17297,169.34,Entertainment
3148,10816.51,Transport
4439,503.16,Medical
29417,135.73,Shopping
33243,327.23,Entertainment
45407,165.4,Souvenirs
38306,773.25,Accommodation
16681,45.42,Ski Pass
49993,733.49,Medical
29846,391.67,Entertainment
16884,166.09,Food
15032,194.82,Insurance
22870,14447.07,Transport
41077,36.79,Visa
38514,149.29,Ski Pass
24018,682.38,Medical
20370,8658.03,Transport
8950,1363.91,Accommodation
18265,128.31,Visa
29742,29.15,Souvenirs
34076,181.74,Ski Pass
34656,814.1,Shopping
7143,188.47,Visa
39611,165.8,Entertainment
29129,176.41,Food
39485,126.45,Visa
15213,222.67,Insurance
15393,1107.88,Accommodation
33325,61.05,Food
20010,117.74,Visa
5201,69.94,Entertainment
6034,11852.19,Transport
21553,647.67,Shopping
15721,806.97,Accommodation
16295,171.07,Food
40929,108.74,Insurance
43594,168.89,Visa
42227,1327.4,Accommodation
5091,56.75,Food
24433,676.13,Shopping
25435,145.98,Ski Pass
47464,1752.42,Accommodation
25445,131.12,Guide Services
43636,382.9,Entertainment
47596,71.51,Medical
42110,1490.27,Accommodation
2543,1601.16,Accommodation
23363,324.46,Guide Services
13880,266.27,Medical
